
# new_sentence = yes, end_paragraph=no
# text = יש לסמן את התיבה המאשרת את תנאי השימוש ולנסות שוב.
1	יֵשׁ	יש	AUX	AUX	VerbType=Mod	יֵשׁ	_
2	לְסַמֵּן	סימן	VERB	VERB	HebBinyan=PIEL|HebRoot=סמן|VerbForm=Inf|Voice=Act	סִמֵּן	_
3	אֶת	את	ADP	ADP		אֶת	_
4-5	הַתֵּבָה	_	_	_	_
4	ה	ה	DET	DET	PronType=Art
5	תֵּבָה	תיבה	NOUN	NOUN	Gender=Fem|Number=Sing	תֵּבָה	_
6-7	הַמְּאַשֶּׁרֶת	_	_	_	_
6	ה	ה	DET	DET	PronType=Art
7	מְּאַשֶּׁרֶת	אישר	VERB	VERB	Gender=Fem|HebBinyan=PIEL|HebRoot=אשׁר|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Act	אִשֵּׁר	_
8	אֶת	את	ADP	ADP		אֶת	_
9	תְּנָאֵי	תנאי	NOUN	NOUN	Definite=Cons|Gender=Masc|Number=Plur	תְּנַאי	_
10-11	הַשִּׁמּוּשׁ	_	_	_	_
10	ה	ה	DET	DET	PronType=Art
11	שִּׁמּוּשׁ	שימוש	NOUN	NOUN	Gender=Masc|Number=Sing	שִׁמּוּשׁ	_
12-13	וּלְנַסּוֹת	_	_	_	_
12	וּ	ו	CCONJ	CCONJ
13	לְנַסּוֹת	ניסה	VERB	VERB	HebBinyan=PIEL|HebRoot=נסי|VerbForm=Inf|Voice=Act	נִסָּה	_
14	שׁוּב	שוב	ADV	ADV		שׁוּב	_
15	.		PUNCT	PUNCT		.	_

# new_sentence = yes, end_paragraph=yes
# text =

# new_sentence = yes, end_paragraph=yes
# text = האם הטופס פתוח יותר מ-20 דקות?

1	הַאִם	אם	ADV	ADV	PronType=Int	אִם	_
2-3	הַטֹּפֶס	_	_	_	_
2	ה	ה	DET	DET	PronType=Art
3	טֹּפֶס	טופס	NOUN	NOUN	Gender=Masc|Number=Sing	טֹפֶס	_
4	פָּתוּחַ	פתוח	ADJ	ADJ	Gender=Masc|Number=Sing	פָּתוּחַ	_
5	יוֹתֵר	יותר	ADV	ADV		יוֹתֵר	_
6	מִ	מ	ADP	ADP		מִ	_
7	-		PUNCT	PUNCT		-	_
8-9	20דַּקּוֹת	_	_	_	_
8	20		NUM	NUM		20	_
9	דַּקּוֹת	דקה	NOUN	NOUN	Gender=Fem|Number=Plur	דַּקָּה	_
10	?		PUNCT	PUNCT		?	_

# new_sentence = yes, end_paragraph=no
# text = יש לטעון את טופס הרשמה מחדש.
1	יֵשׁ	יש	AUX	AUX	VerbType=Mod	יֵשׁ	_
