sentence,sentiment,model_sentiment,dataset,equals,,,,acuraccy ,0.617902054,,sentence count ,12803
ממש כואב  אני בוכה עם המשפחה שלא תדעו עוד צער,0,1,train,FALSE,,,,false positive,0.185347184,,,
איש יקר שלנו,0,0,train,TRUE,,,,false negative ,0.046395376,,,
כל הכבוד והמון בהצלחה,0,0,train,TRUE,,,,false neutral,1926,,,
 תל חי  רובי  בכל העצב הזה היית קרן אור של תקוה  אכן יש נשיא בישראל ,0,0,train,TRUE,,,,,,,,
נקי כפיים ובר לבב בהצלחה לך ולנו ,0,0,train,TRUE,,,,,,,,
רובי חג שמח והצלחה בבחירות לנשיאות ,0,0,train,TRUE,,,,,,,,
הנשיא לא נותן יד  דיי להתלהמות אפשר להביע דיעה ולהתנגד אך לא פיזית  זו הבחירה שלה להנשא למוסלמי  נאחל לה הצלחה ,0,0,train,TRUE,,,,,,,,
כבוד הנשיא אין מתאים ממך בעולם מלהיות נשיא מדינת ישראל עם ישראל אוהב אותך והקב ׳ ה אוהב אותך ואתה דוגמה ומופת לכל אדם באשר הוא אני מאחל לך אושר עושר ובריאות איתנה עד 120 ועוד,0,0,train,TRUE,,,,,,,,
 כל הכבוד לך אדוני הנשיא כאיש ימין דווקא  אני חושב שאהבה תנצח  ,0,0,train,TRUE,,,,,,,,
אדוני הנשיא סליחה על הבוטות תפסיק לזיין את השכל  עד היום לא התבטאת ולו במילה על המצב במדינה  לא הבעת את אהדתך לצבא  לא אמרת מילה טובה ומעודדת לתושבי הדרום  אם חשוב לך תשעה באב אז תחזור להסטוריה ותעלם מעינינו ,1,0,train,FALSE,,,,,,,,
בהצלחה אדוני הנשיא,0,0,train,TRUE,,,,,,,,
ואני עוד חשבתי שהגיע נשיא נורמלי,1,0,train,FALSE,,,,,,,,
נשיא המדינה הלבן והמנותק חכם בדיבורים  הוא לא יהיה שם ברגע האמת לעזור לה לטפל בפצעי המכות האיומות שהיא תקבל  מנותק ומנוכר מעמו  אני בז לו ,1,1,train,TRUE,,,,,,,,
 דרך צלחה בים סוער  מאמינה שתמשיך לנהוג כפי שנהגת בהיותך יו  ר הכנסת  ביושרה ובליברליות נאורה  ובמנותק מן הביצה הפוליטית  ,0,0,train,TRUE,,,,,,,,
 רובי ריבלין היקר  אתה איש משפחה לא  מעניין איך היית מגיב  אם הבת שלך הייתה מתחתנת היום עם ערבי  נשיא מדינה מעודד התבוללות בעם היהודי  לאן הגענו  ,1,0,train,FALSE,,,,,,,,
מגיע לך ,0,2,train,FALSE,,,,,,,,
אמן,0,0,train,TRUE,,,,,,,,
 ווא מרגש  בעזרת ה ׳   נשיא מדינת ישראל  ,0,0,train,TRUE,,,,,,,,
עוד לא שבוע בתפקיד וכבר שכחת מאיפה באת ,1,1,train,TRUE,,,,,,,,
בהצלחה,0,0,train,TRUE,,,,,,,,
אדוני הנשיא  אם הדמוקרטיה ועתיד הדו קיום חשובים לך עשה מעשה ולך להיות אורח של כבוד בחתונה הזאת ,0,0,train,TRUE,,,,,,,,
 ריבלין הרגע מחקתי אותך  כמה אהבתי אותך על זה נאמר   סייג לחוכמה שתיקה   ,1,1,train,TRUE,,,,,,,,
אם יש מישהו שמגיעה לו זה אתהבהצלחה,0,2,train,FALSE,,,,,,,,
תתחיל במעשים  עוד אחד פחדן  כהנא צדק,1,1,train,TRUE,,,,,,,,
 כבוד נשיאנו  אין שמח היה ממני ביום בחירתך  לא חשבתי שכל כך מהר אשמע את שמעון פרס מגרונך  ,1,0,train,FALSE,,,,,,,,
 עם התגובות שנכתבות פה  יש לך הרבה עבודה לעשות בתור נשיא  בהצלחה  ,0,0,train,TRUE,,,,,,,,
רובי  בדיחה אחת בשבוע  עם ישראל זקוק לחיוך מידי פעם ,0,2,train,FALSE,,,,,,,,
 כבוד הנשיא הבא עלינו לטובה  שמח לפגישתך העתידית עם אבו מאזן  בקש שיסביר איך זה מתישב עם הסדר כל שהוא  הרשות הפלסטינית משלמת מדי חודש משכורות למחבלים הכלואים בישראל  מדי חודש  לא סתם משלמים  משלמים טוב  רצחת יותר   ישבת יותר   קיבלת יותר כסף ** מחבל המרצה חמש עד עשר שנים משתכר 4000 שח בחודש  מחבל שמרצה 1015 שנים  משתכר 6000 שח בחודש  מחבל שמרצה 2530 שנים  משתכר 10000 שח בחודש  והמחבלים הכבדים ביותר  הרוצחים האכזריים ביותר  השפוטים ליותר מ30 שנה  מקבלים 12000 שח בחודש   ברגותי למשל  ** בנוסף לכך  מקבל כל אסיר פלסטיני הכלוא בישראל 400 שקלים להוצאות פרטיות פעמיים בשנה  יש גם תוספת למי שנשוי ותוספת מיוחדת לילדים  ** במונחי פלסטיניים מדובר במשכורת עתק  ** כ4000 אסירים משוחררים ממשיכים לקבל משכורות אחרי שחרורם  לעבודה מועדפת   יש גם פנסיה  ** כך גם זיאד עווד  רוצח ברוך מזרחי זל ששוחרר בעסקת שליט  קיבל משכורת מהרשות הפלסטינית במאסר הראשון  שוחרר וקיבל משכורת של מחבל משוחרר  ועכשיו שוב   יועלו התנאים   שלו בעבודה המועדפת של אבו מאזן  הרי הוא רצח יהודי וחזר לכלא  מדהים  ,1,0,train,FALSE,,,,,,,,
לפי הזמן שפרסמת את הפוסט  הכלה הטריה והמסכנה קמה בבוקר וקיבלה וואחד עידוד נשיאותי  אולי עוד היה לה הרהור תשובה  אך גושפנקה כזו לילדה מסכנה חסרת עמוד שדרה  ייתכן שאתה הטת את הכף  כבוד הנשיאעעעע על כל פנים עוד יקריאו לך את ההודעות האלה כשיגיע יומך  בתקווה שתספיק להשיג תשובה עד אז  איש מסכן שכמוך,1,0,train,FALSE,,,,,,,,
 כבוד הנשיא  כל הכבוד  אני תומך בכל מילה שלך  ,0,0,train,TRUE,,,,,,,,
ישר כוח כבוד הנשיא ,0,0,train,TRUE,,,,,,,,
 נשיאנו היקר  גם בתפקיד כנשיא  חייבים לגלות אומץ להגיד את מה שהעם חושב  לעודד ולא להוקיע את בנות ישראל  שמתחתנות עם מוסלמים ערבים  זה קו אדום לעם היהודי ששמר על יהדותו במשך אלפי שנים  התופעה של ערבים שרוצים לפגוע בעם היהודי  מצא שיטה להשפיל אותנו בנסיון שלצערנו גם מצליח לפעמים  להוליך שולל בנות יהודיות  לא צריך להתבייש להגיד באמת את מה שהשמאל לא אוהב לשמוע  צריך לדעתי להיות נחרץ ולהגיד בריש גלי  שהעם היהודי חייב לשמור על עצמו מתופעות כאלה  ,1,0,train,FALSE,,,,,,,,
 יהי זכרו ברוך  כמה עצוב ,0,0,train,TRUE,,,,,,,,
דייי לשתיקה דייייי ,1,2,train,FALSE,,,,,,,,
בהצלחה ,0,0,train,TRUE,,,,,,,,
נשיא ללא נסיעות,0,0,train,TRUE,,,,,,,,
